b ,h,b' ,h' ,fc,ALfyL ,Atfyt/s ,Ts 
254,381,216,343,44.8,339.1408,390.1024,45.61
254,381,216,343,14.3,161.3292,169.0416,21.45
152,495,114,457,29,334.1694,379.08,28.45
254,381,216,343,26.6,403.0677,649.6254,49.56
152,305,130,283,28.7,120.68,98.3208,8.99
152,305,130,283,27.3,284.0082,224.3122,15.69
440,240,420,220,49.8,316.1776,379.5214,48.54
324,324,304,304,19,160.4448,192.7566,21.11
440,240,420,220,19,263.886,316.6632,34.32
440,240,420,220,18.5,184.5052,296.6208,31.04
254,254,219,219,39.2,447.12,398.736,34.43
178,356,143,321,38.6,309.6,281.92,25.29
160,275,120,235,36.3,586.656,934.12,15.25
160,275,120,235,77.3,574.434,952.648,20.06
160,275,120,235,105,576.18,978.896,23.62
203,305,165,267,75,244.688,199.176,21.1
203,305,165,267,72.9,287.956,249.711,22.5
350,500,300,450,78.5,313.72,524.48,92
350,500,300,450,78.5,624.36,1476.28,196
350,500,300,450,33.5,331.38,851.5,111.7
350,500,300,450,35.5,624.36,1476.28,138
420,420,370,370,48,161.315,425.52,74.7
350,500,300,450,35,89.4,705.483,52.9
300,350,260,310,42.6,599.595,607.92,62.4
300,400,270,370,84.7,345.092,783.864,76.3
300,400,270,370,83.1,348.624,396.72,67.7
350,500,300,450,40.3,517.7186,841.9662,98.4
200,300,138,238,60.8,335.4148,311.7444,13.8
400,600,310,510,35.4,453.572,717.5995,126
400,600,310,510,35.4,471.0816,820.7936,106
500,500,430,430,45.1,366.996,1110.163,185.5
324,324,304,304,17.2,257.6448,309.0843,34.5
600,600,528,528,53.1,950.7736,2219.477,412.24
600,600,540,549,91.7,199.9238,454.4227,151.76
600,600,533,529,87.5,1520.969,3492.818,521.33
502,719,442,659,27.6,288.42,928,215.25
498,734,438,674,94.9,491.49,1331.491,339.48
400,600,310,510,36.5,384.8774,648.054,117
400,600,310,510,36.5,277.992,477.603,102
400,600,310,510,36.5,529.5421,672.0183,129
254,381,215.9,342.9,29.03,337.6473,582.385,56.2
300,350,260,310,43.2,202.76,207.87,32.9
150,800,98,748,29.5,564.369,649.026,60.1
600,600,546,545,91.4,950.7736,2219.477,450.31
250,700,200,650,48,130.9,425.52,64.14
400,600,310,510,36.5,440.2857,739.2035,127
160,275,130,245,105,978.7692,575.96,23.6
150,800,102,752,29.5,649,174,40.4
320,587,275,542,40,592,313,100.8
254,508,216,470,30.9,197.394,256.462,40.3
254,381,215.9,342.9,44.75,261.6403,332.9217,45.6
254,508,216,470,31,285.3552,383.16,52.61
350,500,300,450,78.5,624.36,846.65,155.3
350,500,300,450,35.5,312.4,846.65,95.2
350,500,300,450,67,121.2,650.945,62.2
350,500,300,450,40.3,185.13,860.1876,58.3
600,600,535,535,46.2,591.1396,1217.044,299.92
600,600,518,518,76.4,1267.474,2910.802,456.19
498,710,438,650,48.1,317.34,906,237.48
499,723,439,663,90.6,576.63,1322.974,370.15
350,500,300,450,67,274.505,421.296,93.7
350,500,300,450,29.3,185.13,372.248,55
400,600,310,510,35.4,264.7656,424.802,101
178,356,143,321,38.5,423.36,398.736,31.72
